H_RATIO_3A_PCT_CHG,HSN1F_3A_PCT_CHG,PERMIT_3A_PCT_CHG,STOCK_MKT_3A_PCT_CHG,BAA_YEILD_10Y_2A_PCT_CHG,US10Y_3A_PCT_CHG,RPCE_A_PCT_CHG,UEMP_3A_PCT_CHG,RGDP_M_PCT_CHG,YEAR,MONTH
-0.56557377,0.014880952,0.278899083,-0.700960401,0.44642857199999997,-0.214285714,1.288235295,-0.030859797,-0.119047619,2011,12
-0.078431373,0.379310345,0.136653895,0.13862463,0.9285714285000001,-0.251923077,0.324324324,-0.277608952,-0.212765957,1986,3
-0.341463415,0.384879725,0.799283154,-0.69740894,-0.2608695645,0.106299213,1.7833333319999998,-0.244697273,-0.023097826,2013,9
0.363636364,0.360824742,0.460665658,-0.322689063,-0.6860986545,-0.12627551,-2.854411764,-0.03703806,-0.492424242,1973,5
0.75,-0.080479452,-0.009549072,-0.71561729,-0.3183962265,0.283919598,-1.253846154,-0.230371812,-0.125,2006,6
-0.390243902,0.427991886,0.367693943,-1.383793172,-0.036945812999999994,-0.364719905,-0.13527851400000002,0.003885078,0.282442748,1993,10
-0.175675676,0.347022587,0.4137577,-0.031566048,-0.477272727,-0.053594771,-0.284615385,-0.15242653,0.319444444,1994,8
0.046153846,-0.00755287,-0.007879186,1.791613471,-0.0497630325,-0.300319489,-0.5341463399999999,-0.181951951,0.333333333,1987,8
0.111111111,-0.604938272,-0.591635916,1.48331305,-0.0107142855,-0.245798319,-6.766666668,1.101010663,-0.285714286,2009,12
-0.426470588,0.405844156,0.343393148,0.972536837,-0.06818181749999999,-0.226388889,2.8517110260000003,-0.155695884,-0.024390244,1998,2
-0.319148936,0.173144876,-0.311774461,-3.101647687,0.2254335255,0.058108108,-0.5797373370000001,0.619751435,-0.108108108,1976,7
-0.456896552,-0.226463104,-0.171195652,-0.704054258,0.2017241385,-0.480314961,-1.88888889,0.301925351,1.066666667,2011,9
-0.146341463,0.344983089,0.215953307,2.426408882,0.071428572,-0.449586777,2.720689656,0.510440071,0.25,2003,6
0.20754717,0.182119205,0.208188153,0.491450501,0.0251396655,-0.097444089,2.935828878,-0.200706168,0.034482759,1996,1
-0.212121212,0.50166113,0.602201258,2.878519215,-0.529411764,-0.146666667,8.358974358000001,-0.322318975,-0.013071895,2014,5
0.068493151,-0.589798087,-0.612101911,0.819596785,0.738461538,-0.281183932,-3.429729729,1.256130719,0.4,2009,9
-0.329113924,0.148623853,0.003610108,-0.706000686,0.4375000005,-0.287735849,0.10966057500000001,0.263048112,-0.057971014,1993,5
0.017857143,0.304270463,0.25560843,0.42212101,0.428571429,-0.142723881,-1.220338983,-0.303841872,0.075471698,1986,1
0.170212766,-0.086294416,0.037433155,-3.199388053,-0.5810810805000001,0.024509804,3.7694524499999997,-0.207030921,-0.164750958,1964,2
0.23880597,-0.167434716,-0.242666667,-0.199712969,-0.338461539,0.020905923,-1.59922179,-0.133217266,-0.391891892,1990,4
0.170212766,-0.086294416,0.037433155,-3.199388053,-0.42000000000000004,0.024509804,-0.40909090800000003,-0.207030921,0.014705882,1963,4
-0.017241379,0.282352941,0.604504505,-7.791148761,-0.765463917,0.073291925,-0.979591836,-0.302427526,0.092715232,1978,10
-0.319148936,0.979351032,0.94481982,-3.635754203,-0.5501730105,-0.144917087,-0.473684211,-0.208690959,-0.026315789,1985,3
-0.043478261,0.106578947,0.129420085,-0.070484175,0.6909090915,-0.107302534,-0.8842676309999999,-0.206545082,0.363636364,2000,4
-0.322580645,0.052132701,0.469387755,-9.668423697,0.193359375,-0.490909091,1.5,-0.198296301,-0.402597403,2013,3
-0.130434783,0.952020202,0.791765637,-0.998664675,-0.015,-0.132681564,0.980357142,0.551633863,0.271929825,1972,8
0.216666667,-0.323281062,-0.228684359,-3.19069227,2.1470588235,0.550131926,2.840000001,0.102894818,0.55033557,1980,10
0.047619048,0.014749263,-0.237995825,-0.21854096,-0.4363636365,-0.107039537,2.535211269,-0.228647193,0.416666667,1988,8
-0.436781609,0.561290323,0.352432432,-1.397193273,0.015306123,-0.385321101,-0.612244899,0.109390793,0.393617021,1993,9
-0.017241379,0.201320132,-0.002785515,3.482094283,0.6284916195,-0.314586995,-0.5653846140000001,-0.241201564,0.28,1986,6
-0.06,0.209912536,0.089046493,4.56211601,0.1413043485,0.102177554,0.282442749,-0.162402311,-0.170212766,1997,1
0.153846154,0.228915663,0.134328358,-0.638126146,-0.4411764705,0.254310345,1.909090908,-0.265642636,-0.06779661,2018,6
0.0,0.426229508,0.436314363,-0.874239712,-0.1567944255,-0.045685279,1.150197627,-0.307661601,0.164705882,2015,1
0.0,0.03891709,0.04373423,-1.12266033,-0.3292682925,0.049875312,-0.564473685,-0.155698585,0.211340206,1965,6
-0.069767442,0.172966781,0.052287582,4.78417537,0.42625899300000003,-0.355095541,-0.699646644,0.390007309,0.888888889,2002,11
-0.097560976,0.151913876,0.031775701,-1.270365638,0.306521739,-0.097345133,-2.125531914,-0.015720493,-1.060606061,2001,2
-0.40625,0.329131653,0.255948089,-0.823575846,1.062913908,-0.17699115,0.34390243800000003,-0.258331525,-0.164705882,1998,12
-0.473684211,-0.187660668,0.071884984,-0.891450639,0.154109589,-0.390934844,-2.11392405,0.135331136,0.516129032,2011,10
0.048780488,0.030084236,0.178272981,-1.067083117,0.08982036,-0.025411061,0.113207547,-0.186653407,1.333333333,2000,2
0.0,0.377637131,-0.044787078,-2.003473453,-0.539792388,0.262711864,1.5679012350000001,-0.271977906,-0.063492063,2018,5
0.155555556,-0.050492611,-0.033538672,2.991255724,0.34883721,0.074523397,0.15000000000000002,-0.240034412,-0.126984127,1996,11
-0.372093023,0.075785582,0.189324437,0.565729418,0.8944954125,-0.157131346,2.000000001,0.621242038,0.472727273,1983,1
-0.078431373,0.315369261,0.368852459,-2.211308134,2.1741573030000003,0.205128205,3.827678334,0.774704156,-0.242424242,1971,8
0.43902439,0.102766798,0.174708819,-0.290504482,-0.2985781995,0.191919192,-1.154347827,-0.216452002,-0.384615385,2006,3
0.901960784,-0.346879536,-0.632911392,2.173269516,1.2898089165,0.295109612,-0.065934066,0.173678383,0.733333333,1974,11
0.185185185,0.182310469,0.4182262,-0.799288629,0.1562500005,-0.029383886,-2.540034072,-0.364154486,-0.262295082,1985,10
-0.292134831,0.658280922,1.448519041,-1.289363964,-0.7656903765,0.038809832,1.368078177,-0.260590434,0.647368421,1978,2
-0.114285714,0.46572935,0.944117647,-8.011154986,-0.6407035170000001,0.049627792,0.213157896,-0.287499218,-0.333333333,1978,6
0.040816327,0.370056497,0.463114754,-1.412228503,-0.174911661,-0.004878049,-0.6613636350000001,-0.314722741,-0.033808675,2015,3
-0.0625,0.072289157,0.076751118,4.56211601,0.019999999499999997,-0.009259259,-0.503597121,-0.159094794,0.538461538,1997,2
0.393939394,-0.539722573,-0.530232558,-3.684204616,0.9264705885000001,0.582236842,13.744186047,0.624884782,-0.431693989,1982,2
-0.048780488,0.412337662,0.27013931,-3.207333727,-0.6134453775,-0.11827957,1.400000001,-0.072427591,0.025,2004,10
0.319148936,0.02853067,0.301630435,6.4258792,0.2032258065,0.050251256,0.474999999,-0.202872883,0.296875,1996,3
0.288461538,0.121722846,0.086277732,3.742159447,-0.1538461545,0.392857143,2.153374233,-0.29663164,-0.093023256,2018,11
-0.168674699,0.614583333,0.746065058,-5.161911129,-0.3487084875,-0.160792952,-0.687500001,-0.239815115,-0.027027027,1985,4
0.075,0.288343558,0.252913753,-0.715868521,-0.5871886125,-0.158914729,1.353312303,-0.120513502,-0.313253012,2005,4
-0.444444444,0.156521739,0.479559748,1.038422867,0.116666667,-0.538873995,-1.181818182,-0.241835252,0.673913043,2012,12
0.052631579,-0.041170098,0.073500967,-1.132765365,0.39622641450000007,-0.02,-2.1914357669999998,0.011663794,-0.569444444,2001,5
0.476190476,-0.64990689,-0.702196036,5.401420324,2.971875,-0.356164384,-2.783333334,1.001908129,-1.166666667,2009,5
-0.38317757,-0.373716632,-0.476271186,-0.54816833,-0.46428571500000004,-0.226829268,-1.8430034130000001,0.55692442,-0.344827586,2011,5
0.015625,0.073282443,-0.176133104,-0.63688396,-0.4750889685,-0.123046875,11.233333332,-0.230955827,0.294117647,1988,9
0.038461538,0.311946903,0.231599607,-0.542299526,-0.2342007435,-0.1015625,-0.255520506,-0.308043697,0.153846154,2017,4
0.0,0.030973451,-0.163838502,-0.441711545,-0.23255814,-0.196313364,-1.292220114,-0.242733797,0.255813953,1988,4
0.145833333,0.218390805,0.245283019,3.139805029,-0.6874999995,0.276595745,-0.283333332,-0.282632918,-0.014705882,2017,12
0.327586207,-0.405092593,-0.392710472,-1.199569261,1.3956521745000001,0.609815951,-3.148275861,0.293404237,-0.827067669,1981,3
0.215686275,0.176699029,0.124245039,-1.431465978,-0.436567164,0.331797235,0.7906137179999999,-0.246114701,-0.072727273,2018,7
0.121212121,-0.605184447,-0.62019544,0.285025719,0.4333333335,-0.263043478,-2.350180506,1.151996739,0.285714286,2009,10
-0.104477612,0.291984733,0.424823411,0.872792128,-0.48666666599999997,-0.009296149,0.308333334,-0.187137366,0.242105263,1994,9
0.170212766,-0.086294416,0.037433155,-3.199388053,-0.6769911510000001,0.024509804,2.011441647,-0.207030921,-0.245714286,1964,4
0.423076923,-0.229404309,-0.234279354,-0.213768758,-0.3710526315,0.190661479,-1.21875,-0.261095165,-0.097087379,1989,4
